"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Maine-et-Loire";"010599753";"";"185833";"186640";"186540";"187482";"186955";"185998";"185582";"184896";"185431";"184548";"183630";"184430";"184823";"184323";"183997";"184053";"184692";"185680";"186563";"188191";"188109";"188984";"189087";"190071";"191054";"192998";"192574";"192066";"189579";"187202";"185990";"185265";"185469";"185227";"185577";"187054";"186735";"187189";"186988";"186289";"186618";"186670";"186297";"185577";"184904";"184245";"183412";"183976";"183485";"183281";"183210";"182492";"182234";"181750";"181999";"182242";"183040";"184180";"184819";"185140";"185622";"185768";"186962";"187662";"188866";"189334";"189306";"190069";"190486";"191846";"191614"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Manche";"010599754";"";"103225";"104224";"104200";"103650";"103788";"103964";"103869";"103846";"103924";"104497";"104591";"104383";"104286";"104388";"104841";"104498";"104765";"105174";"105358";"105570";"106141";"106797";"106816";"107537";"108408";"108025";"107812";"107548";"106729";"105974";"106094";"106158";"106041";"105993";"105961";"106826";"106378";"106274";"106824";"106926";"106620";"107292";"107186";"107133";"106497";"106503";"105628";"105405";"105311";"105410";"105153";"104818";"104974";"104665";"104657";"104779";"105147";"105208";"105484";"105798";"106106";"106963";"107526";"107028";"107371";"107511";"108107";"108533";"109449";"110200";"110672"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Marne";"010599755";"";"144500";"143920";"142846";"143748";"144061";"143813";"144040";"143266";"142520";"142101";"141965";"141417";"141728";"141399";"141241";"140487";"141124";"141187";"142668";"142248";"141766";"142903";"142320";"142710";"142467";"143446";"143253";"142020";"140428";"138569";"137450";"137681";"137595";"137528";"137040";"137580";"137701";"138215";"137696";"137078";"136962";"137182";"136247";"135805";"135430";"134902";"133957";"134131";"133560";"133470";"133185";"132431";"132094";"131594";"131309";"131249";"131302";"131885";"132080";"132642";"133069";"133212";"133771";"134107";"134681";"134653";"134841";"134428";"134494";"134837";"134728"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Haute-Marne";"010599756";"";"45683";"46107";"45771";"45767";"45628";"45547";"45246";"44822";"44613";"44500";"44287";"44252";"44216";"43961";"43739";"43592";"43706";"43384";"43646";"43592";"43438";"43826";"43438";"43542";"43795";"43871";"43422";"42922";"42161";"41435";"41195";"41392";"40951";"41084";"41474";"41515";"41796";"41877";"41740";"41440";"41476";"41044";"40529";"39975";"39506";"39393";"39390";"39422";"39407";"39288";"39176";"39057";"38702";"38382";"38378";"38100";"38261";"38147";"38300";"38562";"38774";"38737";"39003";"39083";"39357";"39115";"38895";"38717";"38600";"38615";"38432"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Mayenne";"010599757";"";"75053";"75866";"75007";"74918";"74791";"74422";"74118";"73374";"73478";"73466";"73531";"73214";"72721";"72737";"73329";"73193";"73451";"73848";"74239";"74632";"74581";"75178";"75057";"75672";"75849";"76328";"75314";"74432";"74012";"73210";"72982";"73673";"73591";"73354";"73834";"73889";"73353";"73136";"73630";"73467";"73443";"73304";"73005";"73043";"72874";"73324";"73239";"73249";"73380";"73056";"73247";"72772";"72903";"72491";"72512";"72547";"73212";"73264";"73484";"74080";"73749";"74122";"74757";"75565";"76537";"75743";"75628";"75315";"75548";"75842";"75926"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Meurthe-et-Moselle";"010599758";"";"155152";"154838";"154101";"153773";"153672";"152774";"152651";"152230";"151985";"151290";"151791";"150936";"151184";"150700";"150439";"150747";"150991";"150948";"150471";"151286";"151600";"152277";"153092";"153506";"153891";"155290";"155033";"153816";"152871";"151350";"151039";"150834";"150020";"150192";"149131";"149611";"148778";"149126";"148924";"148645";"148861";"148047";"146806";"146253";"145943";"144967";"144612";"144269";"143527";"143241";"143139";"142262";"142087";"142039";"141229";"140599";"140591";"140647";"140690";"141113";"141336";"141374";"141496";"141850";"142071";"141837";"141698";"141331";"141608";"141670";"141964"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Meuse";"010599759";"";"36211";"35759";"35555";"35421";"35759";"35677";"35562";"35416";"35393";"35104";"35130";"35124";"35108";"34689";"34775";"34704";"34288";"33980";"33955";"34024";"33766";"33687";"33840";"34077";"33991";"34386";"34022";"33796";"33435";"32918";"32744";"32007";"32059";"31993";"32059";"32205";"32401";"32194";"32084";"31989";"31751";"31544";"31387";"31265";"31228";"31232";"31002";"30851";"30801";"30755";"30660";"30314";"30228";"30225";"30062";"30035";"29776";"29799";"29896";"29876";"29814";"29922";"30036";"30047";"30056";"29882";"30048";"29904";"29963";"30176";"30325"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Morbihan";"010599760";"";"147779";"147335";"147799";"148505";"148944";"149360";"149662";"148049";"148809";"149657";"149897";"149908";"150633";"150910";"150078";"153167";"152930";"152739";"154632";"156723";"156746";"158943";"157914";"159466";"159207";"160866";"159788";"158883";"158604";"157055";"156140";"155317";"155916";"156774";"158154";"157884";"157828";"159168";"158426";"159094";"158576";"158400";"157968";"157225";"156526";"155409";"153894";"154562";"154878";"154738";"154940";"154028";"154147";"154047";"154625";"155120";"155614";"156276";"156571";"157088";"157376";"158159";"159328";"159664";"160967";"161875";"161643";"162039";"162858";"164101";"164619"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Moselle";"010599761";"";"240411";"239743";"239370";"238813";"237923";"237392";"236373";"236236";"236304";"234952";"234157";"233711";"233579";"233329";"232732";"232054";"232203";"232054";"233657";"234195";"233378";"234331";"234822";"236005";"236212";"237323";"237578";"234832";"231513";"227477";"224025";"222641";"222980";"222298";"221770";"222251";"222182";"221699";"223508";"223043";"222723";"222615";"221037";"220225";"218271";"217239";"216426";"216339";"215332";"214938";"214107";"213466";"213552";"212834";"212791";"213709";"213095";"212970";"212404";"211744";"212804";"212532";"213451";"214336";"215682";"215084";"215149";"214132";"214058";"214910";"213990"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Nièvre";"010599762";"";"47959";"48505";"47924";"48223";"48175";"47616";"47796";"47832";"47703";"47203";"47132";"46856";"46787";"45896";"46359";"46251";"46164";"45893";"45672";"45267";"45531";"45941";"45552";"45549";"44925";"45101";"45104";"44720";"44003";"42769";"42451";"42257";"41983";"41672";"41519";"41426";"41340";"41104";"41218";"40924";"40851";"40713";"40354";"40144";"40194";"39771";"39600";"39456";"39073";"38979";"38872";"38720";"38788";"38555";"38591";"38364";"38355";"38271";"38531";"38734";"38823";"38937";"38939";"38895";"38951";"38915";"38708";"38607";"38619";"38602";"38400"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Nord";"010599763";"";"634483";"635328";"637267";"637573";"637371";"636686";"634792";"632360";"633579";"633149";"631027";"629874";"629031";"624238";"623988";"624159";"625322";"620028";"628330";"630166";"632684";"638044";"638750";"640955";"645132";"648478";"645514";"642420";"633577";"626815";"624162";"621897";"621203";"618153";"615233";"618807";"619757";"619778";"621226";"622345";"622652";"621787";"620413";"616595";"613529";"612119";"608543";"609943";"610230";"610331";"610074";"607457";"607976";"607705";"607991";"610100";"611586";"613651";"616448";"618748";"621646";"622143";"622692";"626446";"630410";"628194";"630620";"631347";"633830";"637129";"637179"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Oise";"010599764";"";"179975";"180741";"180512";"179926";"178855";"178205";"177674";"176851";"177523";"177085";"176502";"176587";"176504";"175443";"174764";"174698";"174800";"174920";"175709";"175708";"176221";"177390";"178457";"178016";"178903";"179718";"179201";"178772";"176860";"173686";"171640";"171556";"170655";"169750";"169682";"170935";"171053";"171517";"172068";"169928";"170454";"169739";"169239";"168747";"167493";"167586";"166222";"166163";"165781";"165757";"165856";"165078";"164765";"164824";"164654";"165095";"164938";"164691";"164211";"163771";"164437";"165244";"165426";"165893";"166297";"166235";"166628";"166882";"166850";"167493";"167886"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Orne";"010599765";"";"66573";"66606";"66549";"66908";"66571";"66256";"65961";"65874";"65326";"65535";"65359";"64740";"64525";"64259";"64120";"64387";"64503";"63867";"64287";"64163";"64098";"64379";"64343";"64623";"65225";"64888";"64843";"63718";"63028";"61840";"62049";"62262";"62071";"61684";"61931";"61675";"61456";"61312";"61019";"61149";"61000";"60440";"59942";"59374";"58955";"58617";"58466";"58723";"58337";"58158";"57722";"57001";"56919";"56671";"56497";"56225";"56301";"56293";"56293";"56491";"56542";"56227";"56289";"56288";"56266";"56525";"56226";"56074";"55919";"55869";"55745"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Pas-de-Calais";"010599766";"";"296428";"298813";"299590";"301221";"300072";"299431";"300034";"299967";"299069";"297642";"297804";"297379";"296465";"294777";"294152";"292645";"296373";"293887";"297672";"297031";"297607";"299509";"300385";"300024";"299530";"298346";"298433";"296444";"293038";"291581";"290042";"288494";"288552";"287266";"286662";"287578";"287825";"289098";"288708";"287901";"287236";"285766";"285016";"282693";"280309";"280988";"278395";"278873";"277934";"277262";"276770";"276023";"276343";"276594";"276171";"277824";"277758";"278263";"278936";"279912";"280502";"279879";"281553";"282881";"284355";"285581";"285717";"285387";"285068";"286765";"287361"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Puy-de-Dôme";"010599767";"";"156659";"157087";"157300";"157447";"157394";"157992";"157787";"157719";"157675";"156895";"157170";"156951";"157270";"157268";"157402";"157451";"157049";"157151";"157254";"157182";"157734";"158380";"158379";"158833";"158809";"159463";"158184";"157235";"155477";"153515";"152885";"152256";"151459";"151514";"151403";"152207";"151880";"152018";"152242";"151972";"152614";"152455";"153112";"153760";"153414";"153330";"153280";"154090";"154816";"154586";"154045";"153722";"154318";"153949";"153627";"153955";"153908";"153870";"154355";"153951";"154261";"155014";"155360";"155669";"155983";"155900";"155632";"155900";"156422";"157135";"157266"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Pyrénées-Atlantiques";"010599768";"";"146546";"146930";"146535";"147202";"147746";"147095";"146829";"146804";"147515";"147318";"147792";"147585";"148421";"149055";"148945";"149539";"150478";"151537";"152244";"153440";"153550";"155926";"155286";"155869";"155585";"155273";"155859";"154544";"153439";"152373";"151559";"151425";"150971";"150857";"150929";"151738";"151660";"151739";"152428";"152269";"152422";"152403";"151948";"151838";"151764";"151823";"151418";"151778";"152115";"151586";"151843";"151521";"151716";"151965";"152353";"152646";"152954";"152674";"153062";"153481";"154468";"155097";"155910";"156054";"156928";"156419";"156788";"157439";"157173";"158354";"158737"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Hautes-Pyrénées";"010599769";"";"46333";"46511";"46144";"46681";"47220";"46691";"46803";"46555";"46504";"46589";"46712";"46555";"46766";"47665";"46649";"46853";"47350";"46904";"47305";"47117";"47560";"47525";"48170";"48251";"48282";"49631";"48191";"48060";"47472";"47244";"46384";"46294";"45916";"46513";"46014";"45940";"46015";"45627";"45894";"45782";"45143";"45008";"45268";"44982";"44636";"45227";"44206";"44191";"44156";"43790";"43632";"43319";"43404";"43117";"42864";"42715";"42718";"43542";"42752";"42968";"42604";"42224";"42585";"42413";"42337";"43075";"42673";"42616";"42447";"42944";"42936"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Pyrénées-Orientales";"010599770";"";"75891";"76500";"77358";"77286";"77687";"77974";"77916";"78484";"78466";"78785";"79004";"78918";"80142";"81035";"81076";"81960";"81352";"81310";"81785";"83027";"83303";"83634";"83650";"83714";"83773";"83213";"82789";"82407";"81901";"82117";"80988";"81029";"81576";"81144";"81786";"81404";"81361";"81456";"82034";"81802";"81050";"81316";"81164";"80898";"80407";"80762";"80001";"80507";"80380";"79801";"80521";"80029";"80300";"80408";"80848";"80810";"80697";"81089";"81223";"81621";"81915";"82262";"82664";"82521";"83109";"83913";"83886";"84028";"84027";"84916";"86009"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Bas-Rhin";"010599771";"";"317092";"316228";"315033";"314170";"314629";"314469";"313757";"313048";"313513";"311648";"311279";"309931";"311062";"310848";"311436";"311331";"312168";"311562";"311733";"312745";"314174";"316317";"317145";"317058";"318081";"318591";"317188";"315849";"313044";"306679";"304434";"303385";"303566";"303776";"304310";"304881";"304974";"306425";"306560";"305992";"306598";"305245";"305147";"304707";"304028";"303909";"304178";"304645";"304456";"304295";"303798";"303202";"302676";"302200";"302083";"302110";"303260";"303960";"304457";"305136";"306888";"308042";"310370";"311240";"313494";"314735";"315510";"316896";"316686";"318331";"317707"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Haut-Rhin";"010599772";"";"202473";"202762";"202480";"201885";"200048";"199767";"199671";"197663";"197461";"195859";"194849";"193273";"193769";"192018";"191326";"190921";"190290";"189212";"189919";"189912";"189162";"190062";"190358";"190429";"189958";"189907";"189808";"188986";"185320";"182891";"182149";"182195";"181875";"181659";"179795";"180523";"180796";"181327";"181020";"180085";"179861";"179293";"179026";"178638";"176993";"176383";"175897";"175879";"175683";"174937";"174716";"173623";"173231";"173329";"173287";"173776";"173793";"173987";"174794";"174584";"174466";"175023";"175893";"177200";"178302";"178629";"178679";"178628";"178625";"179022";"179323"
